"","country","key","value"
"64.p6","Mexico","p6",0.4
"65.p1","Moldova","p1",5.81
"65.p2","Moldova","p2",2.29
"65.p3","Moldova","p3",0.41
"65.p4","Moldova","p4",5.69
"65.p5","Moldova","p5",2.19
"65.p6","Moldova","p6",0.13
"66.p1","Mongolia","p1",7
"66.p2","Mongolia","p2",4.17
"66.p3","Mongolia","p3",0.9
"66.p4","Mongolia","p4",6.63
"66.p5","Mongolia","p5",4.07
"66.p6","Mongolia","p6",0.8
"67.p1","Montenegro","p1",2.77
"67.p2","Montenegro","p2",0.58
"67.p3","Montenegro","p3",0.17
"67.p4","Montenegro","p4",1.52
"67.p5","Montenegro","p5",1.42
"67.p6","Montenegro","p6",0
"68.p1","Morocco","p1",3.75
"68.p2","Morocco","p2",1.67
"68.p3","Morocco","p3",0
"68.p4","Morocco","p4",3.21
"68.p5","Morocco","p5",0.71
"68.p6","Morocco","p6",0
"69.p1","Myanmar","p1",3.11
"69.p2","Myanmar","p2",0.06
"69.p3","Myanmar","p3",0.06
"69.p4","Myanmar","p4",1.33
"69.p5","Myanmar","p5",0.17
"69.p6","Myanmar","p6",0
"70.p1","Nepal","p1",1.8
"70.p2","Nepal","p2",0.17
"70.p3","Nepal","p3",0.03
"70.p4","Nepal","p4",1.17
"70.p5","Nepal","p5",0.17
"70.p6","Nepal","p6",0
"71.p1","Netherlands","p1",6.4
"71.p2","Netherlands","p2",2.93
"71.p3","Netherlands","p3",0.53
"71.p4","Netherlands","p4",6.5
"71.p5","Netherlands","p5",2.9
"71.p6","Netherlands","p6",0.5
"72.p1","New Zealand","p1",5.93
"72.p2","New Zealand","p2",1.7
"72.p3","New Zealand","p3",0.3
"72.p4","New Zealand","p4",4.83
"72.p5","New Zealand","p5",2.6
"72.p6","New Zealand","p6",0.03
"73.p1","Nicaragua","p1",3.83
"73.p2","Nicaragua","p2",1
"73.p3","Nicaragua","p3",0
"73.p4","Nicaragua","p4",2.58
"73.p5","Nicaragua","p5",0.25
"73.p6","Nicaragua","p6",0
"74.p1","Nigeria","p1",1.82
"74.p2","Nigeria","p2",0.7
"74.p3","Nigeria","p3",0.08
"74.p4","Nigeria","p4",0.7
"74.p5","Nigeria","p5",0.2
"74.p6","Nigeria","p6",0
"75.p1","North Macedonia","p1",6.1
"75.p2","North Macedonia","p2",2.67
"75.p3","North Macedonia","p3",0.33
