"","country","key","value"
"77.p2","Morocco","p2",1.24
"77.p3","Morocco","p3",0.09
"77.p4","Morocco","p4",2.78
"77.p5","Morocco","p5",0.87
"77.p6","Morocco","p6",0.03
"78.p1","Mozambique","p1",0.73
"78.p2","Mozambique","p2",0.4
"78.p3","Mozambique","p3",0
"78.p4","Mozambique","p4",0
"78.p5","Mozambique","p5",0.44
"78.p6","Mozambique","p6",0
"79.p1","Myanmar","p1",2
"79.p2","Myanmar","p2",0.24
"79.p3","Myanmar","p3",0.02
"79.p4","Myanmar","p4",1.02
"79.p5","Myanmar","p5",0.17
"79.p6","Myanmar","p6",0.05
"80.p1","Nepal","p1",1.42
"80.p2","Nepal","p2",0.15
"80.p3","Nepal","p3",0.02
"80.p4","Nepal","p4",0.79
"80.p5","Nepal","p5",0.23
"80.p6","Nepal","p6",0
"81.p1","Netherlands","p1",5.24
"81.p2","Netherlands","p2",2.29
"81.p3","Netherlands","p3",0.33
"81.p4","Netherlands","p4",4.97
"81.p5","Netherlands","p5",2.35
"81.p6","Netherlands","p6",0.37
"82.p1","New Zealand","p1",5.11
"82.p2","New Zealand","p2",1.43
"82.p3","New Zealand","p3",0.21
"82.p4","New Zealand","p4",4.47
"82.p5","New Zealand","p5",1.61
"82.p6","New Zealand","p6",0.05
"83.p1","Nicaragua","p1",3.67
"83.p2","Nicaragua","p2",0.69
"83.p3","Nicaragua","p3",0.04
"83.p4","Nicaragua","p4",3.58
"83.p5","Nicaragua","p5",0.37
"83.p6","Nicaragua","p6",0
"84.p1","Nigeria","p1",2.32
"84.p2","Nigeria","p2",0.86
"84.p3","Nigeria","p3",0.06
"84.p4","Nigeria","p4",2.25
"84.p5","Nigeria","p5",0.71
"84.p6","Nigeria","p6",0.1
"85.p1","North Korea","p1",6.8
"85.p2","North Korea","p2",4.95
"85.p3","North Korea","p3",2.57
"85.p4","North Korea","p4",6.4
"85.p5","North Korea","p5",5.42
"85.p6","North Korea","p6",1.22
"86.p1","North Macedonia","p1",4.23
"86.p2","North Macedonia","p2",1.55
"86.p3","North Macedonia","p3",0.25
"86.p4","North Macedonia","p4",3.69
"86.p5","North Macedonia","p5",1.17
"86.p6","North Macedonia","p6",0.16
"87.p1","Norway","p1",4.25
"87.p2","Norway","p2",1.49
"87.p3","Norway","p3",0.25
"87.p4","Norway","p4",3.11
"87.p5","Norway","p5",1.41
"87.p6","Norway","p6",0.11
"88.p1","Oman","p1",0.67
"88.p2","Oman","p2",0.4
"88.p3","Oman","p3",0.07
"88.p4","Oman","p4",0.53
"88.p5","Oman","p5",0.13
"88.p6","Oman","p6",0
"89.p1","Pakistan","p1",2.57
"89.p2","Pakistan","p2",0.78
"89.p3","Pakistan","p3",0.09
"89.p4","Pakistan","p4",2.03
"89.p5","Pakistan","p5",0.47
"89.p6","Pakistan","p6",0.02
"90.p1","Palestine","p1",7
"90.p2","Palestine","p2",1
"90.p3","Palestine","p3",0
"90.p4","Palestine","p4",0
"90.p5","Palestine","p5",6
"90.p6","Palestine","p6",0
"91.p1","Panama","p1",4.52
"91.p2","Panama","p2",0.6
"91.p3","Panama","p3",0.25
"91.p4","Panama","p4",2.97
"91.p5","Panama","p5",0.4
"91.p6","Panama","p6",0.02
"92.p1","Paraguay","p1",2.91
"92.p2","Paraguay","p2",0.43
"92.p3","Paraguay","p3",0.01
"92.p4","Paraguay","p4",2.24
"92.p5","Paraguay","p5",0.36
"92.p6","Paraguay","p6",0
"93.p1","Peru","p1",6
"93.p2","Peru","p2",3.4
"93.p3","Peru","p3",0.7
"93.p4","Peru","p4",5.52
"93.p5","Peru","p5",2.72
"93.p6","Peru","p6",0.29
"94.p1","Philippines","p1",4.46
"94.p2","Philippines","p2",1.95
"94.p3","Philippines","p3",0.17
"94.p4","Philippines","p4",4.58
"94.p5","Philippines","p5",1.56
"94.p6","Philippines","p6",0.14
"95.p1","Poland","p1",6.07
"95.p2","Poland","p2",3.53
"95.p3","Poland","p3",1.29
"95.p4","Poland","p4",5.9
"95.p5","Poland","p5",4.01
"95.p6","Poland","p6",0.71
"96.p1","Portugal","p1",4.34
"96.p2","Portugal","p2",1.73
"96.p3","Portugal","p3",0.12
"96.p4","Portugal","p4",3.87
"96.p5","Portugal","p5",1.6
"96.p6","Portugal","p6",0.09
"97.p1","Puerto Rico","p1",2.5
"97.p2","Puerto Rico","p2",0.65
"97.p3","Puerto Rico","p3",0.03
"97.p4","Puerto Rico","p4",2.2
"97.p5","Puerto Rico","p5",0.57
"97.p6","Puerto Rico","p6",0.15
"98.p1","Romania","p1",6.53
"98.p2","Romania","p2",4.6
"98.p3","Romania","p3",1.84
"98.p4","Romania","p4",6.27
"98.p5","Romania","p5",4.32
"98.p6","Romania","p6",1.23
"99.p1","Russia","p1",6.91
"99.p2","Russia","p2",5.46
"99.p3","Russia","p3",3.15
"99.p4","Russia","p4",6.85
"99.p5","Russia","p5",5.57
"99.p6","Russia","p6",2.56
"100.p1","Rwanda","p1",2.54
"100.p2","Rwanda","p2",0.29
"100.p3","Rwanda","p3",0.04
"100.p4","Rwanda","p4",1.62
"100.p5","Rwanda","p5",0.12
"100.p6","Rwanda","p6",0
"101.p1","Saudi Arabia","p1",4.32
"101.p2","Saudi Arabia","p2",2.13
"101.p3","Saudi Arabia","p3",0.25
"101.p4","Saudi Arabia","p4",4.04
"101.p5","Saudi Arabia","p5",1.59
"101.p6","Saudi Arabia","p6",0.05
"102.p1","Serbia","p1",4.94
"102.p2","Serbia","p2",2.51
"102.p3","Serbia","p3",0.69
"102.p4","Serbia","p4",4.46
"102.p5","Serbia","p5",2.22
"102.p6","Serbia","p6",0.33
"103.p1","Singapore","p1",6.16
"103.p2","Singapore","p2",4.33
"103.p3","Singapore","p3",1.29
"103.p4","Singapore","p4",6.07
"103.p5","Singapore","p5",3.86
"103.p6","Singapore","p6",0.99
"104.p1","Slovakia","p1",5.89
"104.p2","Slovakia","p2",2.56
"104.p3","Slovakia","p3",0.35
"104.p4","Slovakia","p4",5.35
"104.p5","Slovakia","p5",2.49
"104.p6","Slovakia","p6",0.48
"105.p1","Slovenia","p1",4.77
"105.p2","Slovenia","p2",1.43
"105.p3","Slovenia","p3",0.29
"105.p4","Slovenia","p4",3.97
"105.p5","Slovenia","p5",1.1
"105.p6","Slovenia","p6",0.1
"106.p1","South Africa","p1",5.11
"106.p2","South Africa","p2",1.72
"106.p3","South Africa","p3",0.17
"106.p4","South Africa","p4",4.07
"106.p5","South Africa","p5",1.42
"106.p6","South Africa","p6",0.16
"107.p1","South Korea","p1",6.72
"107.p2","South Korea","p2",5.77
"107.p3","South Korea","p3",3.17
"107.p4","South Korea","p4",6.69
"107.p5","South Korea","p5",5.35
"107.p6","South Korea","p6",2.44
"108.p1","Spain","p1",4.89
"108.p2","Spain","p2",1.66
"108.p3","Spain","p3",0.11
"108.p4","Spain","p4",3.93
"108.p5","Spain","p5",1.81
"108.p6","Spain","p6",0.12
"109.p1","Sri Lanka","p1",4
"109.p2","Sri Lanka","p2",1.09
"109.p3","Sri Lanka","p3",0.06
"109.p4","Sri Lanka","p4",3.07
"109.p5","Sri Lanka","p5",0.85
"109.p6","Sri Lanka","p6",0.01
"110.p1","Sweden","p1",5.03
"110.p2","Sweden","p2",1.82
"110.p3","Sweden","p3",0.25
"110.p4","Sweden","p4",3.83
"110.p5","Sweden","p5",1.56
"110.p6","Sweden","p6",0.25
"111.p1","Switzerland","p1",4.6
"111.p2","Switzerland","p2",2.31
"111.p3","Switzerland","p3",0.43
"111.p4","Switzerland","p4",4.34
"111.p5","Switzerland","p5",1.68
"111.p6","Switzerland","p6",0.13
"112.p1","Syria","p1",4.02
"112.p2","Syria","p2",1.21
"112.p3","Syria","p3",0.06
"112.p4","Syria","p4",3.47
"112.p5","Syria","p5",0.97
"112.p6","Syria","p6",0
"113.p1","Taiwan","p1",6.68
"113.p2","Taiwan","p2",5.07
"113.p3","Taiwan","p3",1.65
"113.p4","Taiwan","p4",6.55
"113.p5","Taiwan","p5",4.55
"113.p6","Taiwan","p6",1.32
"114.p1","Tajikistan","p1",4.55
"114.p2","Tajikistan","p2",1.61
"114.p3","Tajikistan","p3",0.11
"114.p4","Tajikistan","p4",4.12
"114.p5","Tajikistan","p5",1.05
"114.p6","Tajikistan","p6",0.09
"115.p1","Tanzania","p1",0.58
"115.p2","Tanzania","p2",0.22
"115.p3","Tanzania","p3",0.06
"115.p4","Tanzania","p4",0.26
"115.p5","Tanzania","p5",0
"115.p6","Tanzania","p6",0
"116.p1","Thailand","p1",6.53
"116.p2","Thailand","p2",4.38
"116.p3","Thailand","p3",1.25
"116.p4","Thailand","p4",6.48
"116.p5","Thailand","p5",4.25
"116.p6","Thailand","p6",0.82
"117.p1","Trinidad and Tobago","p1",2.16
"117.p2","Trinidad and Tobago","p2",0.8
"117.p3","Trinidad and Tobago","p3",0.08
"117.p4","Trinidad and Tobago","p4",2.1
"117.p5","Trinidad and Tobago","p5",0.47
"117.p6","Trinidad and Tobago","p6",0.03
"118.p1","Tunisia","p1",3.43
"118.p2","Tunisia","p2",1.11
"118.p3","Tunisia","p3",0.06
"118.p4","Tunisia","p4",3.09
"118.p5","Tunisia","p5",0.93
"118.p6","Tunisia","p6",0.04
"119.p1","Turkey","p1",6.42
"119.p2","Turkey","p2",4.09
"119.p3","Turkey","p3",1.34
"119.p4","Turkey","p4",6.46
"119.p5","Turkey","p5",3.59
"119.p6","Turkey","p6",0.75
"120.p1","Turkmenistan","p1",4.2
"120.p2","Turkmenistan","p2",1.53
"120.p3","Turkmenistan","p3",0.1
"120.p4","Turkmenistan","p4",4.16
"120.p5","Turkmenistan","p5",0.87
"120.p6","Turkmenistan","p6",0.05
"121.p1","Uganda","p1",1.03
"121.p2","Uganda","p2",0.13
"121.p3","Uganda","p3",0.01
"121.p4","Uganda","p4",0.69
"121.p5","Uganda","p5",0.03
"121.p6","Uganda","p6",0.02
"122.p1","Ukraine","p1",6.47
"122.p2","Ukraine","p2",4.53
"122.p3","Ukraine","p3",1.34
"122.p4","Ukraine","p4",6.15
"122.p5","Ukraine","p5",4.31
"122.p6","Ukraine","p6",1.25
"123.p1","United Arab Emirates","p1",0.53
"123.p2","United Arab Emirates","p2",0.33
"123.p3","United Arab Emirates","p3",0
